Battersby,BTT,Haydons Road,HYR,Pitlochry,PIT,St Keyne Wishing Well Halt,SKN
Battersea Park,BAK,Hayes & Harlington,HAY,Pitsea,PSE,St Leonards Warrior Square,SLQ
Battle,BAT,Hayes (Kent),HYS,Pleasington,PLS,St Margarets (Herts),SMT
Battlesbridge,BLB,Hayle,HYL,Plockton,PLK,St Margarets (London),SMG
Bayford,BAY,Haymarket,HYM,Pluckley,PLC,St Mary Cray,SMY
Beaconsfield,BCF,Haywards Heath,HHE,Plumley,PLM,St Michaels,STM
Bearley,BER,Hazel Grove,HAZ,Plumpton,PMP,St Neots,SNO
Bearsden,BRN,Headcorn,HCN,Plumstead,PLU,Stafford,STA
Bearsted,BSD,Headingley,HDY,Plymouth,PLY,Staines,SNS
Beasdale,BSL,Headstone Lane,HDL,Pokesdown,POK,Stallingborough,SLL
Beaulieu Road,BEU,Heald Green,HDG,Polegate,PLG,Stalybridge,SYB
Beauly,BEL,Healing,HLI,Polesworth,PSW,Stamford (Lincs),SMD
Bebington,BEB,Heath High Level,HHL,Pollokshaws East,PWE,Stamford Hill,SMH
Beccles,BCC,Heath Low Level,HLL,Pollokshaws West,PWW,Stanford-le-Hope,SFO
Beckenham Hill,BEC,Heathrow Airport Terminal 4,HAF,Pollokshields East,PLE,Stanlow & Thornton,SNT
Beckenham Junction,BKJ,Heathrow Airport Terminal 5,HWV,Pollokshields West,PLW,Stansted Airport,SSD
Bedford,BDM,"Heathrow Airport Terminals 1, 2 and 3",HXX,Polmont,PMT,Stansted Mountfitchet,SST
Bedford St Johns,BSJ,Heaton Chapel,HTC,Polsloe Bridge,POL,Staplehurst,SPU
Bedhampton,BDH,Hebden Bridge,HBD,Ponders End,PON,Stapleton Road,SRD
Bedminster,BMT,Heckington,HEC,Pontarddulais,PTD,Starbeck,SBE
Bedworth,BEH,Hedge End,HDE,Pontefract Baghill,PFR,Starcross,SCS
Bedwyn,BDW,Hednesford,HNF,Pontefract Monkhill,PFM,Staveley (Cumbria),SVL
Beeston,BEE,Heighington,HEI,Pontefract Tanshelf,POT,Stechford,SCF
Bekesbourne,BKS,Helensburgh Central,HLC,Pontlottyn,PLT,Steeton & Silsden,SON
Belle Vue,BLV,Helensburgh Upper,HLU,Pontyclun,PYC,Stepps,SPS
Bellgrove,BLG,Hellifield,HLD,Pont-y-Pant,PYP,Stevenage,SVG
Bellingham,BGM,Helmsdale,HMS,Pontypool & New Inn,PPL,Stevenston,STV
Bellshill,BLH,Helsby,HSB,Pontypridd,PPD,Stewartby,SWR
Belmont,BLM,Hemel Hempstead,HML,Poole,POO,Stewarton,STT
Belper,BLP,Hendon,HEN,Poppleton,POP,Stirling,STG
Beltring,BEG,Hengoed,HNG,Port Glasgow,PTG,Stockport,SPT
Belvedere,BVD,Henley-in-Arden,HNL,Port Sunlight,PSL,Stocksfield,SKS
Bempton,BEM,Henley-on-Thames,HOT,Port Talbot Parkway,PTA,Stocksmoor,SSM
Ben Rhydding,BEY,Hensall,HEL,Portchester,PTC,Stockton,STK
Benfleet,BEF,Hereford,HFD,Porth,POR,Stoke Mandeville,SKM
Bentham,BEN,Herne Bay,HNB,Porthmadog,PTM,Stoke Newington,SKW
Bentley (Hants),BTY,Herne Hill,HNH,Portlethen,PLN,Stoke-on-Trent,SOT
Bentley (South Yorks),BYK,Hersham,HER,Portslade,PLD,Stone (Staffs),SNE
Bere Alston,BAS,Hertford East,HFE,Portsmouth & Southsea,PMS,Stone Crossing,SCG
Bere Ferrers,BFE,Hertford North,HFN,Portsmouth Arms,PMA,Stonebridge Park,SBP
Berkhamsted,BKM,Hessle,HES,Portsmouth Harbour,PMH,Stonegate,SOG
Berkswell,BKW,Heswall,HSW,Possilpark & Parkhouse,PPK,Stonehaven,STN
Bermuda Park,BEP,Hever,HEV,Potters Bar,PBR,Stonehouse,SHU
Berney Arms,BYA,Heworth,HEW,Poulton-le-Fylde,PFY,Stoneleigh,SNL
Berry Brow,BBW,Hexham,HEX,Poynton,PYT,Stourbridge Junction,SBJ
Berrylands,BRS,Heyford,HYD,Prees,PRS,Stourbridge Town,SBT
Berwick (Sussex),BRK,Heysham Port,HHB,Prescot,PSC,Stow,SOI
Berwick-upon-Tweed,BWK,High Brooms,HIB,Prestatyn,PRT,Stowmarket,SMK
Bescar Lane,BES,High Street (Glasgow),HST,Prestbury,PRB,Stranraer,STR
Bescot Stadium,BSC,High Street Kensington Underground,ZHS,Preston (Lancs),PRE,Stratford (London),SRA
Betchworth,BTO,High Wycombe,HWY,Preston Park,PRP,Stratford International,SFA
Bethnal Green,BET,Higham (Kent),HGM,Prestonpans,PST,Stratford-upon-Avon,SAV
Betws-y-Coed,BYC,Highams Park,HIP,Prestwick International Airport,PRA,Stratford-upon-Avon Parkway,STY
Beverley,BEV,Highbridge & Burnham,HIG,Prestwick Town,PTW,Strathcarron,STC
Bexhill,BEX,Highbury & Islington,HHY,Priesthill & Darnley,PTL,Strawberry Hill,STW
Bexley,BXY,Hightown,HTO,Princes Risborough,PRR,Streatham (Greater London),STE
Bexleyheath,BXH,Hildenborough,HLB,Prittlewell,PRL,Streatham Common,SRC
Bicester North,BCS,Hillfoot,HLF,Prudhoe,PRU,Streatham Hill,SRH
Bicester Village,BIT,Hillington East,HLE,Pulborough,PUL,Streethouse,SHC
Bickley,BKL,Hillington West,HLW,Purfleet,PFL,Strines,SRN
Bidston,BID,Hillside,HIL,Purley,PUR,Stromeferry,STF
Biggleswade,BIW,Hilsea,HLS,Purley Oaks,PUO,Strood (Kent),SOO
Bilbrook,BBK,Hinchley Wood,HYW,Putney,PUT,Stroud (Gloucs),STD
Billericay,BIC,Hinckley (Leics),HNK,Pwllheli,PWL,Sturry,STU
Billingham (Cleveland),BIL,Hindley,HIN,Pye Corner,PYE,Styal,SYA
Billingshurst,BIG,Hinton Admiral,HNA,Pyle,PYL,Sudbury & Harrow Road,SUD
Bingham,BIN,Hitchin,HIT,Quakers Yard,QYD,Sudbury (Suffolk),SUY
Bingley,BIY,Hither Green,HGR,Queenborough,QBR,Sudbury Hill Harrow,SDH
Birchgrove,BCG,Hockley,HOC,Queens Park (Glasgow),QPK,Sugar Loaf,SUG
Birchington-on-sea,BCH,Hollingbourne,HBN,Queens Park (London),QPW,Summerston,SUM
Birchwood,BWD,Holmes Chapel,HCH,Queens Road (Peckham),QRP,Sunbury,SUU
Birkbeck,BIK,Holmwood,HLM,Queenstown Road (Battersea),QRB,Sunderland,SUN
Birkdale,BDL,Holton Heath,HOL,Quintrell Downs,QUI,Sundridge Park,SUP
Birkenhead Central,BKC,Holyhead,HHD,Radcliffe-on-Trent,RDF,Sunningdale,SNG
Birkenhead Hamilton Square,BKQ,Holytown,HLY,Radlett,RDT,Sunnymeads,SNY
Birkenhead North,BKN,Homerton,HMN,Radley,RAD,Surbiton,SUR
Birkenhead Park,BKP,Honeybourne,HYB,Radyr,RDR,Surrey Quays,SQE
Birmingham International,BHI,Honiton,HON,Rainford,RNF,Sutton (Surrey),SUO
Birmingham Moor Street,BMO,Honley,HOY,Rainham (Essex),RNM,Sutton Coldfield,SUT
Birmingham New Street,BHM,Honor Oak Park,HPA,Rainham (Kent),RAI,Sutton Common,SUC
Birmingham Snow Hill,BSW,Hook,HOK,Rainhill,RNH,Sutton Parkway,SPK
Bishop Auckland,BIA,Hooton,HOO,Ramsgate,RAM,Swale,SWL
Bishopbriggs,BBG,Hope (Derbyshire),HOP,Ramsgreave & Wilpshire,RGW,Swanley,SAY
Bishops Stortford,BIS,Hope (Flintshire),HPE,Rannoch,RAN,Swanscombe,SWM
Bishopstone (Sussex),BIP,Hopton Heath,HPT,Rauceby,RAU,Swansea,SWA
Bishopton (Strathclyde),BPT,Horden,HRE,Ravenglass for Eskdale,RAV,Swanwick,SNW
Bitterne,BTE,Horley,HOR,Ravensbourne,RVB,Sway,SWY
Blackburn,BBN,Hornbeam Park,HBP,Ravensthorpe,RVN,Swaythling,SWG
Blackheath,BKH,Hornsey,HRN,Rawcliffe,RWC,Swinderby,SWD
Blackhorse Road,BHO,Horsforth,HRS,Rayleigh,RLG,Swindon (Wilts),SWI
Blackpool North,BPN,Horsham,HRH,Raynes Park,RAY,Swineshead,SWE
Blackpool Pleasure Beach,BPB,Horsley,HSY,Reading,RDG,Swinton (Manchester),SNN
Blackpool South,BPS,Horton-in-Ribblesdale,HIR,Reading West,RDW,Swinton (South Yorks),SWN
Blackridge,BKR,Horwich Parkway,HWI,Rectory Road,REC,Sydenham (London),SYD
Blackrod,BLK,Hoscar,HSC,Redbridge,RDB,Sydenham Hill,SYH
Blackwater,BAW,Hough Green,HGN,Redcar British Steel,RBS,Syon Lane,SYL
Blaenau Ffestiniog,BFF,Hounslow,HOU,Redcar Central,RCC,Syston,SYS
Blair Atholl,BLA,Hove,HOV,Redcar East,RCE,Tackley,TAC
Blairhill,BAI,Hoveton & Wroxham,HXM,Reddish North,RDN,Tadworth,TAD
Blake Street,BKT,How Wood (Herts),HWW,Reddish South,RDS,Taffs Well,TAF
Blakedown,BKD,Howden,HOW,Redditch,RDC,Tain,TAI
Blantyre,BLT,Howwood (Renfrewshire),HOZ,Redhill,RDH,Talsarnau,TAL
Blaydon,BLO,Hoxton,HOX,Redland,RDA,Talybont,TLB
Bleasby,BSB,Hoylake,HYK,Redruth,RED,Tal-y-Cafn,TLC
Bletchley,BLY,Hubberts Bridge,HBB,Reedham (Norfolk),REE,Tame Bridge Parkway,TAB
Bloxwich,BLX,Hucknall,HKN,Reedham (Surrey),RHM,Tamworth,TAM
Bloxwich North,BWN,Huddersfield,HUD,Reigate,REI,Taplow,TAP
Blundellsands & Crosby,BLN,Hull,HUL,Renton,RTN,Tattenham Corner,TAT
Blythe Bridge,BYB,Humphrey Park,HUP,Retford,RET,Taunton,TAU
Bodmin Parkway,BOD,Huncoat,HCT,Rhiwbina,RHI,Taynuilt,TAY
Bodorgan,BOR,Hungerford,HGD,Rhoose Cardiff International Airport,RIA,Teddington,TED
Bognor Regis,BOG,Hunmanby,HUB,Rhosneigr,RHO,Tees-side Airport,TEA
Bogston,BGS,Huntingdon,HUN,Rhyl,RHL,Teignmouth,TGM
Bolton,BON,Huntly,HNT,Rhymney,RHY,Telford Central,TFC
Bolton-Upon-Dearne,BTD,Hunts Cross,HNX,Ribblehead,RHD,Templecombe,TMC
Bookham,BKA,Hurst Green,HUR,Rice Lane,RIL,Tenby,TEN
Bootle (Cumbria),BOC,Hutton Cranswick,HUT,Richmond (London),RMD,Teynham,TEY
Bootle New Strand,BNW,Huyton,HUY,Rickmansworth,RIC,Thames Ditton,THD
Bootle Oriel Road,BOT,Hyde Central,HYC,Riddlesdown,RDD,Thatcham,THA
Bordesley,BBS,Hyde North,HYT,Ridgmont,RID,Thatto Heath,THH
Borough Green & Wrotham,BRG,Hykeham,HKM,Riding Mill,RDM,The Hawthorns,THW
Borth,BRH,Hyndland,HYN,Risca & Pontymister,RCA,The Lakes (Warks),TLK
Bosham,BOH,Hythe (Essex),HYH,Rishton,RIS,Theale,THE
Boston,BSN,IBM Halt,IBM,Robertsbridge,RBR,Theobalds Grove,TEO
Botley,BOE,Ifield,IFI,Robroyston,RRN,Thetford,TTF
Bottesford,BTF,Ilford,IFD,Roby,ROB,Thirsk,THI
Bourne End,BNE,Ilkeston,ILN,Rochdale,RCD,Thornaby,TBY
Bournemouth,BMH,Ilkley,ILK,Roche,ROC,Thorne North,TNN
Bournville,BRV,Imperial Wharf,IMW,Rochester,RTR,Thorne South,TNS
Bow Brickhill,BWB,Ince & Elton,INE,Rochford,RFD,Thornford,THO
Bowes Park,BOP,Ince (Manchester),INC,Rock Ferry,RFY,Thornliebank,THB
Bowling,BWG,Ingatestone,INT,Rogart,ROG,Thornton Abbey,TNA
Box Hill & Westhumble,BXW,Insch,INS,Rogerstone,ROR,Thornton Heath,TTH
Bracknell,BCE,Invergordon,IGD,Rolleston,ROL,Thorntonhall,THT
Bradford Forster Square,BDQ,Invergowrie,ING,Roman Bridge,RMB,Thorpe Bay,TPB
Bradford Interchange,BDI,Inverkeithing,INK,Romford,RMF,Thorpe Culvert,TPC
Bradford-on-Avon,BOA,Inverkip,INP,Romiley,RML,Thorpe-le-Soken,TLS
